#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu6	559	514	575	694	786	716	582	782	720	489	403	82	52	23	31	15	11	0	4	0
Otu60	47	2	35	32	23	12	57	25	14	12	19	56	39	13	41	28	14	38	49	0
Otu7	326	375	483	456	485	544	389	564	463	392	402	133	156	252	238	314	349	224	254	1
Otu5	152	401	184	213	60	135	96	42	325	308	155	203	444	451	309	220	324	347	404	0
Otu186	67	25	12	19	25	8	33	11	11	28	31	55	27	16	33	37	7	54	29	0
Otu2	304	306	370	238	367	339	278	413	303	268	230	275	742	610	270	525	522	208	251	0
Otu26	15	47	21	2	12	12	20	37	74	39	46	3	9	19	20	14	47	16	23	0
Otu89	20	5	0	5	7	8	24	5	7	13	15	12	7	1	5	16	10	20	28	0
Otu123	20	1	0	0	0	0	0	0	6	2	3	0	0	0	0	0	0	0	0	0
Otu11	45	13	243	95	23	27	6	72	11	46	82	139	116	98	75	352	150	170	164	0
Otu19	92	18	14	5	12	9	61	11	30	23	30	292	203	21	143	64	38	63	94	0
Otu29	60	24	14	30	23	11	31	5	5	23	41	78	27	9	67	40	13	36	40	0
Otu12	68	121	120	88	182	123	50	145	160	97	41	0	6	26	50	0	3	6	0	1
Otu9	123	148	167	169	257	238	124	122	121	147	188	106	218	319	314	199	376	224	184	0
Otu30	23	30	28	32	7	4	39	20	28	46	39	34	15	8	16	24	15	7	13	0
Otu16	239	59	21	23	20	12	24	25	14	24	14	66	51	35	60	38	18	52	31	0
Otu3	370	588	354	506	566	597	547	528	524	498	614	75	163	211	243	337	417	163	189	1
Otu28	29	1	2	0	2	0	3	0	0	1	4	157	88	9	26	18	26	125	88	0
Otu109	16	4	0	2	3	1	14	3	3	2	4	6	4	1	13	3	1	4	7	0
Otu181	3	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0
Otu1	247	356	582	326	352	405	273	475	370	355	239	315	481	560	334	499	585	362	319	0
Otu22	23	11	12	30	22	17	59	17	9	23	39	53	50	20	67	46	18	53	58	0
Otu10	16	216	101	197	450	380	269	252	255	287	87	122	20	202	111	41	21	21	26	136
Otu20	63	2	7	2	3	5	49	16	4	3	8	104	70	12	78	91	65	47	48	0
Otu96	9	5	14	9	0	5	21	6	8	4	7	0	1	0	0	0	0	0	0	0
Otu53	50	10	31	19	13	15	20	21	7	17	31	64	34	13	55	46	29	47	59	0
Otu17	35	52	12	28	70	39	24	76	65	80	26	58	11	137	15	25	51	133	23	1
Otu27	52	14	45	44	28	21	35	24	53	23	46	28	33	23	202	64	49	70	79	0
Otu15	35	99	71	139	22	11	105	35	58	143	183	16	6	1	10	4	3	5	4	0
Otu74	17	2	9	12	8	5	22	5	5	9	12	76	39	2	54	48	6	41	67	0
Otu8	212	226	200	238	255	267	208	233	191	225	308	120	242	277	231	272	349	219	225	0
